minutes,tcp_srtt_source,tcp_srtt_SRTT_cumulative
2025-05-17 16:31:30,THREADFULL,7596.0
2025-05-17 16:31:45,THREADFULL,7601.0
2025-05-17 16:32:00,THREADFULL,7750.75
2025-05-17 16:32:15,THREADFULL,7750.75
2025-05-17 16:32:30,THREADFULL,7108.0
2025-05-17 16:32:45,THREADFULL,7103.0
2025-05-17 16:33:00,THREADFULL,5282.0
2025-05-17 16:33:15,THREADFULL,5256.123309523812
2025-05-17 16:33:30,THREADFULL,5154.843507936508
2025-05-17 16:33:45,THREADFULL,4988.031067460318
2025-05-17 16:34:00,THREADFULL,4944.980686507937
2025-05-17 16:34:15,THREADFULL,4883.011765512266
2025-05-17 16:34:30,THREADFULL,4860.907721861472
2025-05-17 16:34:45,THREADFULL,4877.405138888889
2025-05-17 16:35:00,THREADFULL,4985.820956349208
2025-05-17 16:35:15,THREADFULL,5408.796091269843
2025-05-17 16:35:30,THREADFULL,5555.434975829727
2025-05-17 16:35:45,THREADFULL,5555.219021284271
2025-05-17 16:36:00,THREADFULL,5569.613063492064
2025-05-17 16:36:15,THREADFULL,5544.704880952382
2025-05-17 16:36:30,THREADFULL,5485.519380952382
2025-05-17 16:36:45,THREADFULL,5664.668246031746
2025-05-17 16:37:00,THREADFULL,5889.759939754688
2025-05-17 16:37:15,THREADFULL,6316.942429575326
2025-05-17 16:37:30,THREADFULL,6505.055854645354
2025-05-17 16:37:45,THREADFULL,6621.974273448773
2025-05-17 16:38:00,THREADFULL,6660.093223304474
2025-05-17 16:38:15,THREADFULL,6882.810616522367
2025-05-17 16:38:30,THREADFULL,6940.116275252529
2025-05-17 16:38:45,THREADFULL,6870.7911482684
2025-05-17 16:39:00,THREADFULL,7016.75
2025-05-17 16:39:15,THREADFULL,7023.5
2025-05-17 16:39:30,THREADFULL,7000.0
2025-05-17 16:39:45,THREADFULL,7007.0
2025-05-17 16:40:00,THREADFULL,6921.0
2025-05-17 16:40:15,THREADFULL,6925.25
2025-05-17 16:40:30,THREADFULL,5553.0
2025-05-17 16:40:45,THREADFULL,5544.0
2025-05-17 16:41:00,THREADFULL,5688.5
2025-05-17 16:41:15,THREADFULL,5326.75
2025-05-17 16:41:30,THREADFULL,4883.5
2025-05-17 16:41:45,THREADFULL,4224.0
2025-05-17 16:42:00,THREADFULL,4505.0
2025-05-17 16:42:15,THREADFULL,4505.0
2025-05-17 16:42:30,THREADFULL,4737.422924603176
2025-05-17 16:42:45,THREADFULL,4713.040028388279
2025-05-17 16:43:00,THREADFULL,4281.0
2025-05-17 16:43:15,THREADFULL,4266.25
2025-05-17 16:43:30,THREADFULL,4048.0
2025-05-17 16:43:45,THREADFULL,4047.0
2025-05-17 16:44:00,THREADFULL,4806.0
2025-05-17 16:44:15,THREADFULL,4736.514507326007
2025-05-17 16:44:30,THREADFULL,4807.590046113848
2025-05-17 16:44:45,THREADFULL,4702.6093798701295
2025-05-17 16:45:00,THREADFULL,4561.194117965369
2025-05-17 16:45:15,THREADFULL,4327.672440476191
2025-05-17 16:45:30,THREADFULL,4293.859524420023
2025-05-17 16:45:45,THREADFULL,4325.295758022773
2025-05-17 16:46:00,THREADFULL,4459.042393304158
2025-05-17 16:46:15,THREADFULL,4761.653427960928
2025-05-17 16:46:30,THREADFULL,4797.874502463054
2025-05-17 16:46:45,THREADFULL,4688.334788600288
2025-05-17 16:47:00,THREADFULL,4664.670095238096
2025-05-17 16:47:15,THREADFULL,4664.664333333333
2025-05-17 16:47:30,THREADFULL,4583.985128815628
