minutes,tcp_srtt_source,tcp_srtt_SRTT_cumulative
2025-05-17 17:00:30,THREADFULL,745.0
2025-05-17 17:00:45,THREADFULL,506.0
2025-05-17 17:01:00,THREADFULL,506.0
2025-05-17 17:01:15,THREADFULL,3837.657689052487
2025-05-17 17:01:30,THREADFULL,4552.516508630258
2025-05-17 17:01:45,THREADFULL,6237.746545399045
2025-05-17 17:02:00,THREADFULL,6594.454084859587
2025-05-17 17:02:15,THREADFULL,6935.791103342929
2025-05-17 17:02:30,THREADFULL,7418.768509407262
2025-05-17 17:02:45,THREADFULL,7287.671844110753
2025-05-17 17:03:00,THREADFULL,7074.839462798277
2025-05-17 17:03:15,THREADFULL,6825.413132080896
2025-05-17 17:03:30,THREADFULL,6380.980053116818
2025-05-17 17:03:45,THREADFULL,5845.986574587178
2025-05-17 17:04:00,THREADFULL,5614.908302849787
2025-05-17 17:04:15,THREADFULL,5386.740946814409
2025-05-17 17:04:30,THREADFULL,4945.850601697531
2025-05-17 17:04:45,THREADFULL,4840.571524611134
2025-05-17 17:05:00,THREADFULL,4799.98434375327
2025-05-17 17:05:15,THREADFULL,4896.458523757447
2025-05-17 17:05:30,THREADFULL,5338.722436901306
2025-05-17 17:05:45,THREADFULL,5624.595440180407
2025-05-17 17:06:00,THREADFULL,5696.701986012955
2025-05-17 17:06:15,THREADFULL,5792.026543942027
2025-05-17 17:06:30,THREADFULL,6080.093643814379
2025-05-17 17:06:45,THREADFULL,6346.880115800868
2025-05-17 17:07:00,THREADFULL,6545.631148719382
2025-05-17 17:07:15,THREADFULL,6694.204450411709
2025-05-17 17:07:30,THREADFULL,6907.373792194424
2025-05-17 17:07:45,THREADFULL,7126.977540043585
2025-05-17 17:08:00,THREADFULL,7193.542780052708
2025-05-17 17:08:15,THREADFULL,7004.7696933549805
2025-05-17 17:08:30,THREADFULL,6936.007500100519
2025-05-17 17:08:45,THREADFULL,6963.4682692247325
2025-05-17 17:09:00,THREADFULL,6943.356854555922
2025-05-17 17:09:15,THREADFULL,6897.298668560032
2025-05-17 17:09:30,THREADFULL,6439.824407648525
2025-05-17 17:09:45,THREADFULL,6107.164336621712
2025-05-17 17:10:00,THREADFULL,6129.428745768125
2025-05-17 17:10:15,THREADFULL,6178.182744075372
2025-05-17 17:10:30,THREADFULL,5915.435944970883
2025-05-17 17:10:45,THREADFULL,4957.030658536145
2025-05-17 17:11:00,THREADFULL,4647.449376440957
2025-05-17 17:11:15,THREADFULL,4642.020349072489
2025-05-17 17:11:30,THREADFULL,4579.870485805303
2025-05-17 17:11:45,THREADFULL,4510.5572859351
2025-05-17 17:12:00,THREADFULL,4428.310429887476
2025-05-17 17:12:15,THREADFULL,4370.369330280852
