time,apigateway_api_gateway,customersservice_customers_service,srtt_SRTT_cumulative,vetsservice_vets_service,visitsservice_visits_service
2025-05-17 17:01:15,0.0,0.0,491.0,0.0,0.0
2025-05-17 17:01:30,0.0,0.0,543.0,0.0,0.0
2025-05-17 17:01:45,0.0,0.0,446.25,0.0,0.0
2025-05-17 17:02:00,0.0,0.0,453.75,0.0,0.0
2025-05-17 17:02:15,0.0,0.0,453.0,0.0,0.0
2025-05-17 17:02:30,0.0,0.0,404.25,0.0,0.0
2025-05-17 17:02:45,0.0,0.0,296.25,0.0,0.0
2025-05-17 17:03:00,0.0,0.0,2418.75,0.0,0.0
2025-05-17 17:03:15,0.0,6.0,2413.5,0.0,0.0
2025-05-17 17:03:30,0.0,6.0,2428.5,0.0,0.0
2025-05-17 17:03:45,0.0,10.729056493506494,2387.25,0.0,0.0
2025-05-17 17:04:00,0.0,3.891594200282292,2017.5,0.0,0.0
2025-05-17 17:04:15,0.0,1.425641139776906,2685.806931168831,0.0,0.0
2025-05-17 17:04:30,0.0,0.1677794287021167,2683.00235974026,0.0,0.0
2025-05-17 17:04:45,0.0,0.1477794287021167,2659.8936562770564,0.0,0.0
2025-05-17 17:05:00,0.0,0.1477794287021167,2662.027454811855,0.0,0.0
2025-05-17 17:05:15,0.0,0.1477794287021167,2629.0261336017784,0.0,0.0
2025-05-17 17:05:30,0.0,0.1477794287021167,2651.3233029546623,0.0,0.0
2025-05-17 17:05:45,0.0,0.1477794287021167,2654.331683907043,0.0,0.0
2025-05-17 17:06:00,0.0,0.0,2695.7193122387416,0.0,0.0
2025-05-17 17:06:15,0.0,0.0,2694.9662691078493,0.0,0.0
2025-05-17 17:06:30,0.0,0.0,2665.6078790816323,0.0,0.0
2025-05-17 17:06:45,0.0,0.0,2662.9471953209486,0.0,0.0
2025-05-17 17:07:00,0.0,0.0,2566.191879081632,0.0,0.0
2025-05-17 17:07:15,0.0,33.75,2323.739092185592,0.0,4.5
2025-05-17 17:07:30,0.0,33.75,2289.8659175824173,0.0,4.5
2025-05-17 17:07:45,0.0,33.75,2291.9443461538463,0.0,4.5
2025-05-17 17:08:00,0.0,33.75,2340.6930712620715,0.0,4.5
2025-05-17 17:08:15,0.0,33.75,2373.8364652014657,0.0,0.75
2025-05-17 17:08:30,0.0,33.75,2370.027798534799,0.0,0.75
2025-05-17 17:08:45,0.0,33.75,2393.603108058608,0.0,0.75
2025-05-17 17:09:00,0.0,33.75,2443.762766788767,0.0,0.75
2025-05-17 17:09:15,0.0,0.0,2550.2550010773534,0.0,0.0
2025-05-17 17:09:30,0.0,0.0,2531.6260498112288,0.0,0.0
2025-05-17 17:09:45,0.0,0.0,2533.9675798319327,0.0,0.0
2025-05-17 17:10:00,0.0,0.0,2546.426952380953,0.0,0.0
2025-05-17 17:10:15,0.0,67.5,2574.5050850586613,0.0,0.0
2025-05-17 17:10:30,0.0,67.5,2600.825633399209,0.0,0.0
2025-05-17 17:10:45,0.0,67.5,2632.4805121870886,0.0,0.0
2025-05-17 17:11:00,0.0,67.5,2684.545016015286,0.0,0.0
2025-05-17 17:11:15,0.0,113.25,2688.860331671852,0.0,0.0
2025-05-17 17:11:30,0.0,113.25,2670.7235381611144,0.0,0.0
2025-05-17 17:11:45,0.0,113.25,2679.669187223163,0.0,0.0
2025-05-17 17:12:00,0.0,113.25,2688.447735682548,0.0,0.0
2025-05-17 17:12:15,0.0,54.75,2671.967645163916,0.0,0.0
2025-05-17 17:12:30,0.0,54.75,2679.5594340528046,0.0,0.0
2025-05-17 17:12:45,0.0,54.75,2712.884854687725,0.0,0.0
2025-05-17 17:13:00,0.0,54.75,2754.475058150929,0.0,0.0
2025-05-17 17:13:15,0.0,0.0,2948.7458941384702,0.0,0.0
2025-05-17 17:13:30,0.0,0.0,2998.30525697895,0.0,0.0
2025-05-17 17:13:45,0.0,0.0,3032.4643290281488,0.0,0.0
2025-05-17 17:14:00,0.0,0.0,3150.589231279157,0.0,0.0
2025-05-17 17:14:15,0.0,12.75,3368.385603131878,0.0,0.0
2025-05-17 17:14:30,0.0,12.75,3329.644705985389,0.0,0.0
2025-05-17 17:14:45,0.0,12.75,3317.0232652124496,0.0,0.0
2025-05-17 17:15:00,0.0,12.75,3255.434640702533,0.0,0.0
2025-05-17 17:15:15,0.0,57.75,3137.7791804329727,0.0,5.25
2025-05-17 17:15:30,0.0,57.75,3141.007797679279,0.0,5.25
2025-05-17 17:15:45,0.0,57.75,3186.2394490284223,0.0,5.25
2025-05-17 17:16:00,0.0,57.75,3262.292197320076,0.0,5.25
2025-05-17 17:16:15,0.0,116.25,3516.084490749812,0.0,0.75
2025-05-17 17:16:30,0.0,116.25,3530.9460487708525,0.0,0.75
2025-05-17 17:16:45,0.0,116.25,3527.1513214981246,0.0,0.75
2025-05-17 17:17:00,0.0,116.25,3546.014133979418,0.0,0.75
2025-05-17 17:17:15,0.0,296.25,3539.126457964482,0.0,0.0
2025-05-17 17:17:30,0.0,296.25,3573.0059174324683,0.0,0.0
2025-05-17 17:17:45,0.0,296.25,3576.6218661864173,0.0,0.0
2025-05-17 17:18:00,0.0,296.25,3572.313573513033,0.0,0.0
2025-05-17 17:18:15,0.0,26.25,3602.5457003896336,4.5,0.0
2025-05-17 17:18:30,0.0,26.25,3640.690155122694,4.5,0.0
2025-05-17 17:18:45,0.0,26.25,3650.421471362011,4.5,0.0
2025-05-17 17:19:00,0.0,26.25,3659.0599273504663,4.5,0.0
2025-05-17 17:19:15,0.0,42.75,3822.238389780992,0.75,0.0
2025-05-17 17:19:30,0.0,42.75,3902.245344646393,0.75,0.0
2025-05-17 17:19:45,0.0,42.75,3917.867444233597,0.75,0.0
2025-05-17 17:20:00,0.0,42.75,3893.067885896994,0.75,0.0
2025-05-17 17:20:15,0.0,0.0,3882.152426882462,0.75,0.0
2025-05-17 17:20:30,0.0,0.0,3906.884161494708,1.0,0.0
2025-05-17 17:20:45,0.0,0.0,3916.893737489662,1.0,0.0
2025-05-17 17:21:00,0.0,0.0,3911.0168549756554,1.0,0.0
2025-05-17 17:21:15,0.0,0.0,3934.914473686817,1.0,0.0
2025-05-17 17:21:30,0.0,15.055142857142854,3944.253551610673,1.0,0.0
2025-05-17 17:21:45,0.0,4.087663865546218,3955.080266155656,1.0,0.0
2025-05-17 17:22:00,0.0,0.0,3964.215537981282,1.0,0.0
2025-05-17 17:22:15,0.0,0.0,4092.881678062839,1.0,0.0
2025-05-17 17:22:30,0.0,0.0,4108.211631914094,1.0,0.0
2025-05-17 17:22:45,0.0,0.0,4046.410639958191,1.0,0.0
2025-05-17 17:23:00,0.0,0.0,4073.616733825957,0.75,0.0
2025-05-17 17:23:15,0.0,36.0,3741.651922441144,0.75,0.0
2025-05-17 17:23:30,0.0,36.0,3805.452109917481,0.75,0.0
2025-05-17 17:23:45,0.0,36.0,3812.304331497354,0.75,0.0
2025-05-17 17:24:00,0.0,36.0,3757.549136711362,0.75,0.0
2025-05-17 17:24:15,0.0,0.0,3599.125099389804,0.0,0.0
