minutes,iowait_cpu 0,iowait_cpu 1,iowait_cpu 2,iowait_cpu 3,iowait_cpu 4,iowait_cpu 5,iowait_cpu 6,iowait_cpu 7,iowait_cpu 8,iowait_cpu 9,iowait_source,iowait_Minutes,irq_cpu 0,irq_cpu 1,irq_cpu 2,irq_cpu 3,irq_cpu 4,irq_cpu 5,irq_cpu 6,irq_cpu 7,irq_cpu 8,irq_cpu 9,irq_source,irq_Minutes,system_cpu 0,system_cpu 1,system_cpu 2,system_cpu 3,system_cpu 4,system_cpu 5,system_cpu 6,system_cpu 7,system_cpu 8,system_cpu 9,system_source,system_Minutes,user_cpu 0,user_cpu 1,user_cpu 2,user_cpu 3,user_cpu 4,user_cpu 5,user_cpu 6,user_cpu 7,user_cpu 8,user_cpu 9,user_source,user_Minutes,utilization_cpu 0,utilization_cpu 1,utilization_cpu 2,utilization_cpu 3,utilization_cpu 4,utilization_cpu 5,utilization_cpu 6,utilization_cpu 7,utilization_cpu 8,utilization_cpu 9,utilization_source,utilization_Minutes
0.0,10,0,10,10,20,0,10,10,0,0,NET_LOSS,0.0,70,100,90,80,70,110,60,60,0,0,NET_LOSS,0.0,350,420,460,460,490,570,400,350,0,0,NET_LOSS,0.0,1530,2210,2090,1880,1880,1390,1710,1970,0,0,NET_LOSS,0.0,3.3,4.59,4.5,4.07,4.1,3.52,3.64,3.98,0,0,NET_LOSS,0.0
0.25,10,0,10,10,20,0,10,10,0,0,NET_LOSS,0.25,70,100,90,80,70,110,60,60,0,0,NET_LOSS,0.25,350,420,460,460,490,570,400,350,0,0,NET_LOSS,0.25,1530,2210,2090,1880,1880,1390,1710,1970,0,0,NET_LOSS,0.25,3.3,4.59,4.5,4.07,4.1,3.52,3.64,3.98,0,0,NET_LOSS,0.25
0.5,10,0,10,10,20,0,10,10,0,0,NET_LOSS,0.5,70,100,90,80,70,110,60,60,0,0,NET_LOSS,0.5,350,420,460,460,490,570,400,350,0,0,NET_LOSS,0.5,1530,2210,2090,1880,1880,1390,1710,1970,0,0,NET_LOSS,0.5,3.3,4.59,4.5,4.07,4.1,3.52,3.64,3.98,0,0,NET_LOSS,0.5
0.75,10,0,9,13,15,4,9,13,0,0,NET_LOSS,0.75,114,213,189,114,92,124,150,126,0,0,NET_LOSS,0.75,375,520,506,477,550,642,561,524,0,0,NET_LOSS,0.75,2295,2209,3304,2412,1996,1596,1985,3125,0,0,NET_LOSS,0.75,4.980314741957387,6.27916261904762,5.485178711484593,10.71609139194139,11.122705343614712,5.8623172857142825,5.645053710317461,5.241107037925844,0,0,NET_LOSS,0.75
1.0,10,0,9,13,15,4,9,13,0,0,NET_LOSS,1.0,98,122,189,103,89,124,150,126,0,0,NET_LOSS,1.0,387,506,489,477,550,642,521,524,0,0,NET_LOSS,1.0,2240,2126,3154,2239,1991,1755,1899,3018,0,0,NET_LOSS,1.0,4.980314741957387,6.093329285714287,5.681178711484592,10.71609139194139,11.122705343614712,5.8623172857142825,5.645053710317461,5.241107037925844,0,0,NET_LOSS,1.0
1.25,10,20,9,13,14,4,9,13,0,0,NET_LOSS,1.25,98,129,189,100,87,123,147,126,0,0,NET_LOSS,1.25,400,502,490,481,554,646,497,524,0,0,NET_LOSS,1.25,2240,2231,3124,2258,1995,1982,1978,3018,0,0,NET_LOSS,1.25,4.980314741957387,6.093329285714287,5.681178711484592,10.71609139194139,11.122705343614712,5.894400619047616,5.645053710317461,5.241623704592512,0,0,NET_LOSS,1.25
1.5,10,20,9,16,9,4,13,18,0,0,NET_LOSS,1.5,101,134,202,111,98,128,159,127,0,0,NET_LOSS,1.5,450,531,521,530,592,664,533,574,0,0,NET_LOSS,1.5,2375,2659,3568,2266,2035,2852,2247,3457,0,0,NET_LOSS,1.5,5.420533369408368,6.4243492857142845,5.640064425770308,10.696097545787543,11.108280343614716,7.143375119047618,6.327412043650795,5.875447037925843,0,0,NET_LOSS,1.5
1.75,10,20,9,17,5,0,14,18,0,0,NET_LOSS,1.75,180,230,190,190,180,205,185,180,0,0,NET_LOSS,1.75,735,830,785,785,840,696,770,605,0,0,NET_LOSS,1.75,11540,11415,11615,12100,11820,11705,11670,11560,0,0,NET_LOSS,1.75,21.15,21.025,21.3,22.125,21.685,21.46,21.395,21.25,0,0,NET_LOSS,1.75
2.0,10,20,9,15,5,0,14,16,0,0,NET_LOSS,2.0,180,230,190,190,180,205,185,180,0,0,NET_LOSS,2.0,735,830,785,785,840,731,770,716,0,0,NET_LOSS,2.0,11540,11415,11615,12100,11820,11705,11670,11560,0,0,NET_LOSS,2.0,21.15,21.025,21.3,22.125,21.685,21.46,21.395,21.25,0,0,NET_LOSS,2.0
2.25,10,0,9,15,15,5,14,15,0,0,NET_LOSS,2.25,295,320,315,300,300,300,275,285,0,0,NET_LOSS,2.25,1160,1285,1150,1175,1280,744,1130,732,0,0,NET_LOSS,2.25,18265,17955,19560,19050,19070,18640,18455,18755,0,0,NET_LOSS,2.25,33.5,33.05,35.650000000000006,34.75,34.900000000000006,33.8,33.65,34.1,0,0,NET_LOSS,2.25
