Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,160,270,110,130,200,320,140,210,0,0,BASELINE,0.0
2025-05-17 17:00:15,160,270,110,130,200,320,140,210,0,0,BASELINE,0.25
2025-05-17 17:00:30,320,390,270,230,420,520,250,360,0,0,BASELINE,0.5
2025-05-17 17:00:45,240,330,190,180,310,420,195,285,0,0,BASELINE,0.75
2025-05-17 17:01:00,240,330,190,180,310,420,195,285,0,0,BASELINE,1.0
2025-05-17 17:01:15,240,330,190,180,310,420,195,285,0,0,BASELINE,1.25
2025-05-17 17:01:30,565,695,405,390,585,695,455,585,0,0,BASELINE,1.5
2025-05-17 17:01:45,565,695,405,390,970,1070,455,585,0,0,BASELINE,1.75
2025-05-17 17:02:00,565,1120,700,650,970,1070,455,960,0,0,BASELINE,2.0
2025-05-17 17:02:15,970,1120,700,650,970,1070,770,960,0,0,BASELINE,2.25
2025-05-17 17:02:30,880,1550,880,820,960,994,800,920,0,0,BASELINE,2.5
2025-05-17 17:02:45,880,1203,785,768,973,990,800,934,0,0,BASELINE,2.75
2025-05-17 17:03:00,829,1218,795,806,974,988,766,928,0,0,BASELINE,3.0
2025-05-17 17:03:15,791,1167,778,785,972,979,766,918,0,0,BASELINE,3.25
2025-05-17 17:03:30,791,1157,778,785,972,979,766,918,0,0,BASELINE,3.5
2025-05-17 17:03:45,860,1300,830,780,1040,985,780,960,0,0,BASELINE,3.75
2025-05-17 17:04:00,860,1300,830,780,1040,985,780,960,0,0,BASELINE,4.0
2025-05-17 17:04:15,860,1300,830,780,1040,985,780,960,0,0,BASELINE,4.25
2025-05-17 17:04:30,1610,2095,1590,1600,1675,1945,1600,1815,0,0,BASELINE,4.5
2025-05-17 17:04:45,1610,2095,1590,1600,1675,1945,1600,1815,0,0,BASELINE,4.75
2025-05-17 17:05:00,1610,2095,1590,1600,1675,1945,1600,1815,0,0,BASELINE,5.0
2025-05-17 17:05:15,1610,2095,1590,1600,1675,1945,1600,1815,0,0,BASELINE,5.25
2025-05-17 17:05:30,840,1200,765,765,880,985,700,925,0,0,BASELINE,5.5
2025-05-17 17:05:45,830,1075,740,745,910,977,690,945,0,0,BASELINE,5.75
2025-05-17 17:06:00,820,950,715,725,940,970,680,965,0,0,BASELINE,6.0
2025-05-17 17:06:15,800,850,650,710,780,970,600,930,0,0,BASELINE,6.25
2025-05-17 17:06:30,840,710,730,770,890,920,680,960,0,0,BASELINE,6.5
2025-05-17 17:06:45,840,710,730,770,890,920,680,960,0,0,BASELINE,6.75
2025-05-17 17:07:00,781,819,713,743,876,887,715,936,0,0,BASELINE,7.0
2025-05-17 17:07:15,750,829,711,743,839,813,723,928,0,0,BASELINE,7.25
2025-05-17 17:07:30,732,829,707,737,834,811,723,928,0,0,BASELINE,7.5
