Time,mem_cache,source,Minutes
2025-05-17 16:59:30,5794500.0,BASELINE,0.0
2025-05-17 16:59:45,5794500.0,BASELINE,0.25
2025-05-17 17:00:00,5794500.0,BASELINE,0.5
2025-05-17 17:00:15,5793056.875995754,BASELINE,0.75
2025-05-17 17:00:30,5793056.875995754,BASELINE,1.0
2025-05-17 17:00:45,5788857.504305337,BASELINE,1.25
2025-05-17 17:01:00,5788549.274539658,BASELINE,1.5
2025-05-17 17:01:15,5788864.478862422,BASELINE,1.75
2025-05-17 17:01:30,5788997.3588624215,BASELINE,2.0
2025-05-17 17:01:45,5788674.426253945,BASELINE,2.25
2025-05-17 17:02:00,5791464.705587279,BASELINE,2.5
2025-05-17 17:02:15,5792815.270830677,BASELINE,2.75
2025-05-17 17:02:30,5792839.430830676,BASELINE,3.0
2025-05-17 17:02:45,5793428.206357733,BASELINE,3.25
2025-05-17 17:03:00,5793460.304357734,BASELINE,3.5
2025-05-17 17:03:15,5793361.870943231,BASELINE,3.75
2025-05-17 17:03:30,5793808.506459103,BASELINE,4.0
2025-05-17 17:03:45,5793559.054645403,BASELINE,4.25
2025-05-17 17:04:00,5793797.656978738,BASELINE,4.5
2025-05-17 17:04:15,5794527.001481874,BASELINE,4.75
2025-05-17 17:04:30,5794637.03167668,BASELINE,5.0
2025-05-17 17:04:45,5794101.499996223,BASELINE,5.25
2025-05-17 17:05:00,5794228.907281936,BASELINE,5.5
2025-05-17 17:05:15,5794913.016675407,BASELINE,5.75
2025-05-17 17:05:30,5794879.136675406,BASELINE,6.0
2025-05-17 17:05:45,5793591.085309185,BASELINE,6.25
2025-05-17 17:06:00,5793550.240150454,BASELINE,6.5
2025-05-17 17:06:15,5794659.931364992,BASELINE,6.75
2025-05-17 17:06:30,5794754.960698325,BASELINE,7.0
2025-05-17 17:06:45,5794437.89138006,BASELINE,7.25
2025-05-17 17:07:00,5794680.954141966,BASELINE,7.5
2025-05-17 17:07:15,5795396.6193234,BASELINE,7.75
2025-05-17 17:07:30,5795482.004561495,BASELINE,8.0
2025-05-17 17:07:45,5795826.087694179,BASELINE,8.25
