minutes,tcp_srtt_source,tcp_srtt_SRTT_cumulative
2025-05-17 17:00:30,OOM,605.0
2025-05-17 17:00:45,OOM,605.0
2025-05-17 17:01:00,OOM,530.0
2025-05-17 17:01:15,OOM,3499.723051767678
2025-05-17 17:01:30,OOM,6070.700311272061
2025-05-17 17:01:45,OOM,6603.563321595073
2025-05-17 17:02:00,OOM,7030.907592427185
2025-05-17 17:02:15,OOM,7176.693763321589
2025-05-17 17:02:30,OOM,7519.995498767573
2025-05-17 17:02:45,OOM,7468.582577716403
2025-05-17 17:03:00,OOM,7406.367457961157
2025-05-17 17:03:15,OOM,6838.9084700895
2025-05-17 17:03:30,OOM,5996.386624564978
2025-05-17 17:03:45,OOM,5734.3037979300125
2025-05-17 17:04:00,OOM,5492.575117764375
2025-05-17 17:04:15,OOM,5364.205133739626
2025-05-17 17:04:30,OOM,5321.276000620079
2025-05-17 17:04:45,OOM,5301.983317439224
2025-05-17 17:05:00,OOM,5250.639449765123
2025-05-17 17:05:15,OOM,5287.885218473864
2025-05-17 17:05:30,OOM,5297.5443555955135
2025-05-17 17:05:45,OOM,5463.560371732627
2025-05-17 17:06:00,OOM,5577.008474185731
2025-05-17 17:06:15,OOM,5594.8520441713
2025-05-17 17:06:30,OOM,6067.056536820065
2025-05-17 17:06:45,OOM,6459.466839523754
2025-05-17 17:07:00,OOM,6544.655794679993
2025-05-17 17:07:15,OOM,6660.141390532659
2025-05-17 17:07:30,OOM,6737.187654718895
2025-05-17 17:07:45,OOM,6853.488863580144
2025-05-17 17:08:00,OOM,6917.9999511364285
2025-05-17 17:08:15,OOM,6918.902319464293
2025-05-17 17:08:30,OOM,7090.830381059297
2025-05-17 17:08:45,OOM,7116.308567921892
2025-05-17 17:09:00,OOM,7094.683857399501
2025-05-17 17:09:15,OOM,7123.7898852551325
2025-05-17 17:09:30,OOM,7266.9382234150435
2025-05-17 17:09:45,OOM,7399.323142165841
2025-05-17 17:10:00,OOM,7319.259412950609
2025-05-17 17:10:15,OOM,7096.921119050065
2025-05-17 17:10:30,OOM,6623.058572088236
2025-05-17 17:10:45,OOM,5867.808769478886
2025-05-17 17:11:00,OOM,5618.9136569203065
2025-05-17 17:11:15,OOM,5520.553672016085
2025-05-17 17:11:30,OOM,5501.640568480731
2025-05-17 17:11:45,OOM,5477.783333091121
2025-05-17 17:12:00,OOM,5403.835898045172
2025-05-17 17:12:15,OOM,5286.0490771526165
2025-05-17 17:12:30,OOM,4698.215722120793
2025-05-17 17:12:45,OOM,4575.611716511112
2025-05-17 17:13:00,OOM,4526.53289646903
2025-05-17 17:13:15,OOM,4388.993485222124
2025-05-17 17:13:30,OOM,4086.1876821156056
2025-05-17 17:13:45,OOM,4042.39644564399
2025-05-17 17:14:00,OOM,4119.0790232322415
2025-05-17 17:14:15,OOM,4076.410595674
2025-05-17 17:14:30,OOM,4085.72569528918
2025-05-17 17:14:45,OOM,4122.668143639087
2025-05-17 17:15:00,OOM,4119.679862848644
2025-05-17 17:15:15,OOM,4143.998833811777
2025-05-17 17:15:30,OOM,4349.616212786659
2025-05-17 17:15:45,OOM,4456.087671404181
2025-05-17 17:16:00,OOM,4508.062557917304
2025-05-17 17:16:15,OOM,4600.32877213709
2025-05-17 17:16:30,OOM,5116.870311597868
2025-05-17 17:16:45,OOM,5126.181327325198
2025-05-17 17:17:00,OOM,5055.9254156947445
2025-05-17 17:17:15,OOM,4711.704005716864
2025-05-17 17:17:30,OOM,3947.555782388049
2025-05-17 17:17:45,OOM,3766.0338693274175
2025-05-17 17:18:00,OOM,3897.9602565155633
2025-05-17 17:18:15,OOM,3946.1194513371856
2025-05-17 17:18:30,OOM,4046.6966884404
2025-05-17 17:18:45,OOM,4094.799567639616
2025-05-17 17:19:00,OOM,4127.546111135987
2025-05-17 17:19:15,OOM,4097.648130688237
2025-05-17 17:19:30,OOM,4151.298134156552
2025-05-17 17:19:45,OOM,4179.211435825813
2025-05-17 17:20:00,OOM,4232.893704449882
2025-05-17 17:20:15,OOM,4271.271550451779
2025-05-17 17:20:30,OOM,4285.442757152835
2025-05-17 17:20:45,OOM,4278.451793717049
2025-05-17 17:21:00,OOM,4288.199916746426
2025-05-17 17:21:15,OOM,4357.8036873817855
2025-05-17 17:21:30,OOM,4694.549838216783
2025-05-17 17:21:45,OOM,4772.87596022427
2025-05-17 17:22:00,OOM,4702.826812249911
2025-05-17 17:22:15,OOM,4290.30768128141
2025-05-17 17:22:30,OOM,3618.839264022771
2025-05-17 17:22:45,OOM,3631.255277178894
2025-05-17 17:23:00,OOM,3823.73493730688
2025-05-17 17:23:15,OOM,3842.455366484015
2025-05-17 17:23:30,OOM,3966.020730585732
2025-05-17 17:23:45,OOM,3952.155276085492
2025-05-17 17:24:00,OOM,3951.6153524261817
2025-05-17 17:24:15,OOM,3952.735023594365
2025-05-17 17:24:30,OOM,3867.0939281486408
2025-05-17 17:24:45,OOM,3840.906557822769
2025-05-17 17:25:00,OOM,3847.973313188655
2025-05-17 17:25:15,OOM,3895.199960612984
2025-05-17 17:25:30,OOM,3975.474200659242
2025-05-17 17:25:45,OOM,3995.131772486196
2025-05-17 17:26:00,OOM,4004.97205986051
2025-05-17 17:26:15,OOM,4065.07473133198
2025-05-17 17:26:30,OOM,4416.348757111635
2025-05-17 17:26:45,OOM,4476.849497585766
2025-05-17 17:27:00,OOM,4460.272998928881
2025-05-17 17:27:15,OOM,4370.767903416815
2025-05-17 17:27:30,OOM,4395.23829201246
2025-05-17 17:27:45,OOM,4358.292451586142
2025-05-17 17:28:00,OOM,4267.307482819161
2025-05-17 17:28:15,OOM,4302.423407886476
2025-05-17 17:28:30,OOM,4270.170914778795
2025-05-17 17:28:45,OOM,4243.979224088221
2025-05-17 17:29:00,OOM,4245.986894408253
2025-05-17 17:29:15,OOM,4047.584822101647
2025-05-17 17:29:30,OOM,3099.795407025029
